ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
1976;36;358.1;10.2;1.036;921.7;2399.8;2.9;343;2022.6;1282.5;3310.5;123.5;2238.2;189.9;1228.8;1058.7;626.7;7506.7;113;949.7;96.4;9.7;7617.7;1777.2;114.8;2979.6;0
1977;36;326.4;10.2;0.86;1080.7;2279.5;2.7;325.7;2013.1;1327.7;3181.3;1353.3;1086.7;179.5;1049.6;967.9;619.6;7020.3;103.3;904.7;100.5;7.3;7555.5;1799.5;124.9;3113.8;0
1978;31.4;325.9;12.5;1.713;1034.4;2102.8;0;263.4;2149.5;1362.7;2873;1478;890.7;188.9;1052.5;876.4;652.5;7562.4;86.6;628.9;106.3;3.2;8572.7;1975.2;132.6;3131;0
1979;39;394.3;19;1.483;1298.2;2423.5;8;263.6;2565.2;1672.1;3004.9;1664.6;1146.6;246;1210.6;998.5;859.9;7800.1;94.6;911.8;200;23;8171.5;1937.5;123;3081.2;0
1980;45;405;14;6.744;1688.4;2486.5;34;277;2823.2;1768.2;3289.4;1566.5;1225.1;248;1359;1032.9;872.6;7131.6;103;873.5;240;57;7570.4;1940;148.5;3178.5;0
1981;49.9;353.5;12.7;3.552;1854.9;2401.5;40.04;281.5;2619.3;1809.6;3314.4;1570.2;1235.2;298.5;1136.9;842.2;1133.6;7404.8;107.3;815.7;260;31;7875.4;2033.9;249.9;3439.4;0
1982;51.2;330.7;5.3;3.585;1226.1;2230.9;41.5;233.7;2463.2;1508.7;2898.3;1587.2;1336.1;226.2;1025.7;582;876.2;6820;103.4;1004.8;224.7;16.1;7150.5;1947.2;63.8;3255.2;0
1983;51.6;302.4;3.6;2.529;1416.9;1737.6;50;278.8;2672.3;1412;3132;1780.2;1316.7;277.8;1131.1;806;828.4;6985.3;105.2;812.3;318.6;12;7318;1997.2;169.9;3102.5;0
1984;55;343.2;4.9;2.963;1530;1711.4;57.2;276;2556;1357;3235.7;2036.9;1560.6;267;1198.3;860.8;1060.5;7409.2;98;867;236.6;13.7;7442.1;2067.7;221;3223.9;0
1985;63.5;399.9;6.6;2.151;1814.7;1853.1;69.3;246;2908.5;1540.5;3387;2290.8;1915.5;324.1;1087.4;908.4;1296.5;8082.1;97.4;758;294.7;15.6;7383.4;2187.3;243.7;3357.8;0
1986;65;336.1;6.6;1.153;1909;1669.1;72.9;257.9;3158.5;1601.6;3424.9;2376.5;2267.5;338.6;813.6;814.4;1181.4;7893.2;80.9;489.7;285.6;19;7371.5;2108.8;221.7;3296.9;0
1987;66.3;366.5;5.4;6.996;2216.1;1812.8;71.5;240;2707.2;1613.9;3359;2267.1;2629;473.2;767.7;792.2;1288.2;7766.7;82.7;526.5;359.2;8.5;7393.5;2114.9;173.5;3119.6;582.5
1988;73.3;360.1;8.8;2.435;2085.2;1558.6;81.8;252.4;2723.4;1635.8;3267.7;2189.6;2830;479.2;777.4;810.8;1173.5;7629.2;84.8;513.7;410.4;13.5;7293.5;2094.3;174.7;3159.9;559.3
1989;73.5;280.7;5.9;0.995;1639.2;1625.2;81;236.4;2481.8;1340.4;3117.8;1959.5;2337.3;346.3;611.3;579.3;976.7;7550.7;78.5;240.9;345.6;9.8;7425.8;2031.6;159.9;3075.9;333
1990;73.2;279.1;9.7;0.4;1968.4;1462.1;78.4;226.7;2254.5;1456.4;3196.2;1727.9;1898.9;417.8;658.4;880.5;973.4;6926.9;62.1;438.6;345.2;7.8;7202.4;2009.5;168.2;2927.5;243.6
1991;79.7;258.5;9.5;0.4;2224.9;1534.1;78.2;230.5;2267.5;1382.9;3189.6;1738.9;2424.6;387.4;674.3;758.1;1008.1;7202.6;66.8;386.7;411.6;16.8;6846.8;1950;135.7;2976.4;256.8
1992;79.7;85.5;9.5;0.4;1898.8;1368.3;69.9;221.9;2228.6;1295.8;3152.6;1704.4;2690.2;401.3;229;221.9;1027.8;6768.8;74.7;58.7;418.9;16.8;6678.8;1904.1;49.1;2696.6;269.2
