ANO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO
1987;2056.4;1.006.035;2.362.636.667;2.171.433.333;8.153.698.276;748.4;1529.75;1242.35;1.568.663.056;1.313.246.154;1.277.760.661;;1.398.020.238;189.584.875;1965.5;1137.45;943;163.190.803;1.546.316.667;1.036.266.667;1699.1;1179.5;1.845.441.667;1.764.744.643;9.693.333.333;1.542.144.737;1628.68
1988;2.266.716.667;939.925;2.805.197.669;2567.5;9.341.807.882;1347.45;1675.55;1222.6;1.522.416.667;1.856.384.615;1.171.056.264;;1.404.053.571;27.392.775;1796.1;1.339.881.667;1357.3;1.344.992.929;1727.73;1.309.916.667;;961.8;1.346.028.355;1.303.473.636;1.252.083.333;143.785.933;1727.3
1989;2341.35;153.68;2.974.797.727;3.152.016.667;2.325.652.117;1361.35;1800.3;1545.2;1.822.143.333;191.204.359;1.372.604.446;;1.613.757.143;2.579.688.571;2090.5;1.420.891.667;1208.5;1.776.971.111;1.189.163.333;993.4;;1167.65;1.391.003.081;1.661.407.222;181.35;1.606.209.109;1.969.206.667
1990;2.322.733.333;;2.559.684.776;2656.5;1033.8;451.725;1319.3;8.893.833.333;1.229.641.818;128.298.479;9.563.199.177;;1.195.545;1.982.633.846;2153.1;1106.5;533.42;1.934.756.944;8.671.569.048;715.825;;352.6;184.848.985;2.324.332.937;;1.315.934.632;1.100.885
1991;1629.2;;2.624.445.635;2.497.533.333;999.02;7.160.833.333;1948.3;1364.05;1611.22;1.500.672.086;1.505.319.859;;975.25;234.853.315;1584.7;1034.5;924.5;1.465.670.556;1.389.998.333;1350.65;;;1.316.866.111;147.157.381;1227.9;1.479.780.952;1513.51
1992;1847;;2.198.559.604;2120.55;1.169.704.392;6.131.166.667;1837;1.749.676.786;1880.66;1.194.874.359;1.691.715.613;6.570.666.667;1.023.526.667;1.795.191.758;1629.1;1.226.941.667;1234;1.640.156.111;1.211.652.714;1527.3;;634.9;1.761.963.569;1946.5;1238.2;1.539.604.306;1.496.025
1993;2.190.166.667;7.200.083.333;2.690.207.692;2315.25;5.610.920.228;3.930.916.667;1281.1;9.149.777.778;1.343.093.452;1.322.705.769;1.079.192.155;1.095.355.278;6.336.166.667;2.133.544.286;1.053.806.667;5.110.142.857;4.390.090.909;1.772.200.833;1.073.975.368;8.085.333.333;;1203.75;1.665.460.526;191.957.619;7.166.333.333;14.935.029;1.386.975
1994;2325.4;1.683.533.333;2.667.511.447;2404.1;9.215.953.798;1.421.099.798;1402.35;1.174.143.636;1.492.609.848;178.954.359;1.239.788.092;1.228.314.286;1.017.396.667;2.554.001.648;1.307.561.667;9.770.871.032;1.145.246.905;1.458.926.364;1.328.931.397;1.547.483.333;;1773.6;1.806.355;1964.6;1088.25;1.384.324.959;1.042.828.333
1995;1.970.166.667;1.064.925;2.427.661.538;2358.95;1.018.389.286;1.058.386.538;1534.55;1.284.141.818;1.503.713.636;169.159.359;1.299.623.912;1.243.096.429;1.441.318.914;2.389.737.619;924.74;8.578.444.444;1.064.964.286;1.654.893.333;1.298.000.301;8.960.085.714;399.3;1615.6;1.467.967.895;1.658.785.714;8.409.666.667;166.354.183;1.653.516.667
1996;2.046.866.667;1295.1;2.636.228.571;2589.7;8.338.155.474;1.087.007.692;1250.1;1.219.922.222;1.457.124.359;1.802.133.333;1.245.336.822;1.431.828.571;;2.289.128.095;1182.9;9.220.152.778;1.196.878.571;1781.5;1.503.480.515;9.238.571.429;;2190.35;1541.51;1.980.185.714;1.166.833.333;1.667.747.076;1.427.266.667
1997;1.956.866.667;1191.92;2.403.467.674;2461.7;1.133.759.849;7.767.384.615;1495.95;1.225.359.722;1.607.284.615;1.377.399.242;1.346.495.001;1.405.115.278;194.6;1.894.712.821;8.785.833.333;8.629.555.556;9.824.428.572;18.737.125;105.016.375;6.769.928.571;;1295.55;1.941.435.539;2.283.217.857;1040.9;1.496.826.593;1797.95
1998;2.066.366.667;654.58;2.378.331.868;2275;8.209.037.037;6.099.615.385;1359.1;9.018.642.857;1421.2;1.266.718.333;1.196.310.507;1.418.397.222;1.277.371.317;1.994.316.783;566.98;4.309.111.111;7.654.785.714;2.200.401.786;1.374.803.145;5.778.375;1220.8;2192.75;1.945.293.164;2.419.342.857;9.580.666.667;1.532.926.316;1.419.826.667
1999;2408.3;879.84;2.801.171.429;2707.3;1.117.616.179;919.399.359;1221.2;1.173.103.571;1.373.683.333;1.792.048.485;1.133.045.298;9.788.333.333;1.310.571.667;2.335.478.571;7.824.428.571;7.015.875;1.148.092.857;1.509.810.714;1.058.005.556;5.591.625;1500.4;2058.95;135.639.119;1.560.542.857;1.192.833.333;1.271.934.503;1.798.316.667
2000;1996.3;1.619.955;2.729.863.333;2701.8;1.109.299.376;1.105.699.369;1.538.016.667;1.471.314.286;1.665.558.333;1.832.492.424;1.374.948.142;1.518.321.429;1.517.310.101;2.639.335.714;1.605.969.048;1.165.852.778;1.111.416.883;1.648.335.714;1.208.928.758;111.472.619;1650.2;2128.25;1.753.803.939;1.953.455;1.391.033.333;1.523.648.757;1.874.733.333
2001;1.989.933.333;1.082.451.667;2.594.296.667;2113.8;8.228.091.954;8.620.658.333;1234.5;1.504.340.476;1.468.760.455;1612;1.116.412.829;148.975.746;1.540.997.786;2.207.784.066;9.024.547.619;7.735.333.333;8.998.069.331;4.434.902.778;1.138.625.962;5.896.033.333;2740;1485.65;1.362.365.519;3.706.625;1.210.066.667;1.379.919.632;1.632.733.333
2002;2151;1.275.545;2.816.231.905;2488.1;9.192.723.619;9.352.137.879;1268.1;1.268.893.506;126.593.869;1.575.525;1.194.799.242;1.017.150.437;1.376.614.744;2.111.785.714;1196.4;8.957.555.556;7.474.625.458;1.627.781.944;1.245.215.657;1.015.775;2288.8;1828.85;2.178.647.773;18.343.875;1.031.866.667;1.366.237.803;1612.35
2003;2.137.633.333;9.724.466.667;2.521.154.212;1921.3;7.911.309.867;1.150.633.741;1.158.791.667;1.019.792.929;1.398.108.466;1.596.007.692;1.133.269.678;1.456.157.738;1.780.309.233;2.202.542.143;1.094.869.048;6.500.877.778;9.879.995.238;1.575.143.651;1.376.785.005;8.250.863.095;2393;1812.5;1.730.662.127;1.518.041.468;1.186.958.333;139.285.619;1.530.266.667
2004;2.411.433.333;1635.65;2.435.063.129;2701.3;106.610.162;1.259.603.205;1.559.775;1.721.983.636;1.647.986.928;1.829.588.403;150.183.938;1.323.035.714;1.691.793.006;231.491.451;1.442.107.143;1.052.403.889;1.127.872.308;16.859.625;1.377.487.963;1.335.649.405;2006.1;1964.9;1.260.055.732;1.582.288.889;1183.85;161.213.591;1791.5
2005;1980.3;1.211.906.667;2.434.671.625;2591.5;1.092.628.772;7.261.372.711;1.766.716.667;1789.15;1.695.077.952;1.568.581.935;1.459.671.322;1.241.689.484;1.410.017.374;231.022.799;1.170.618.452;1.103.577.121;9.565.491.575;1.608.090.278;1.494.718.006;9.073.990.079;2031.7;2145.05;1.558.493.264;1.936.341.667;9.605.833.333;1.651.946.901;1.764.035.714
2006;2.040.133.333;1.232.006.667;2.565.972.527;2820;9.534.692.243;9.312.591.658;1655.75;1.466.635.079;1.623.068.587;1.714.685.839;1.375.553.888;1.382.296.888;1.724.676.843;2.508.210.816;1.054.107.143;8.726.574.243;1.056.289.131;1.362.305.343;1.252.634.745;9.659.319.444;2319.3;2557.95;1.287.705.699;1.317.455;1317.4;1.487.510.216;1.776.675
2007;2.167.366.667;1.222.158.333;248.781.381;2695.3;7.729.791.134;1.188.303.189;1.273.058.333;943.746.337;1.269.026.813;1.417.409.615;1.570.719.513;1.173.905.493;1.408.081.275;2.114.822.525;1.186.247.659;9.543.497.836;8.141.115.852;1.481.446.228;1.317.096.834;7.959.961.189;2058.75;2334.4;1.747.988.719;175.370.101;1.179.901.667;1.352.478.295;1.279.285.101
2008;2.178.125;116.465.026;271.103.888;2.226.125;1.247.907.772;165.778.147;1687.82;1.445.826.099;1.591.119.938;1.760.109.682;2.431.634.134;1.264.576.678;1.528.210.987;2.459.021.081;197.930.573;9.769.644.452;1.201.923.603;1.508.492.812;1.641.589.099;1.216.463.645;1.773.533.333;2099.1;1.437.965.346;239.837.229;162.727.532;141.862.102;1.704.890.609
2009;2.199.535.952;1.553.375.455;2.416.506.133;2624.7;1.380.919.878;1.788.449.631;1920.3;1.481.197.321;1.572.494.182;2.041.247.996;2.474.252.537;1.409.147.198;153.842.205;2.573.749.473;1.746.226.419;1.011.550.471;1.362.475.032;1.854.533.446;163.434.027;1.478.745.746;2182.25;1443.6;185.462.885;2.439.142.507;2.380.205.925;1.727.077.409;1.737.207.143
2010;139.740.381;1.416.112.828;2.121.014.538;2.873.283.333;1.464.600.556;1.149.884.923;1.467.655;1.330.447.125;1.239.087.013;1.221.274.479;2.177.084.906;1.151.358.278;1.351.903.104;1.880.320.731;1.703.668.377;9.599.306.687;8.530.350.734;1.578.315.256;1.607.162.263;6.395.098.485;1.573.016.667;2.172.366.667;1.598.936.479;2.379.975.712;2.226.667.225;1.203.639.457;1.430.817.316
2011;168.124.619;1.495.998.485;2.638.144.393;2.685.725;1.374.013.722;1.716.749.732;1565.05;1.549.674.762;1.574.401.939;185.274.403;2.385.261.753;1.373.404.835;1.688.932.344;2.736.393.592;1.576.622.716;1.012.553.843;1.116.665.191;1.664.910.406;1.340.195.271;1.179.506.302;2.220.166.667;2241.7;1.580.618.961;262.093.032;2.162.939.785;1.449.117.091;1.737.088.883
2012;2.162.656.071;7.947.864.646;2.993.770.574;2.383.475;1.075.191.428;9.396.614.211;1.540.075;12.297.675;1.369.851.074;1.109.572.375;204.296.538;129.784.529;1.589.286.015;2.541.107.519;1.487.559.179;4.120.477.402;5.763.713.023;1.468.480.331;1.287.526.579;4.753.125.458;2059.45;1.549.433.333;1.393.892.396;1.944.411.759;2.090.663.464;1.385.875.641;1.390.877.381
2013;2.277.266.548;1.143.979.242;3.005.494.612;2142.75;1.495.087.121;1.113.066.138;1.667.625;1.624.857.349;1.539.460.644;1.310.583.137;2.345.135.656;1.323.018.727;1.790.526.413;2.619.319.904;1.777.339.063;7.349.508.772;8.021.104.776;1.741.662.051;1.617.213.227;7.205.365.385;2548.35;1816.2;162.723.345;2.352.550.574;2.694.900.664;1.432.055.768;1.688.920.441
2014;2.417.548.095;1.194.747.879;28.935.275;2.465.593.333;1.381.286.216;1.139.033.497;1573.62;9.608.144.139;1.328.986.436;1.412.526.058;1.871.190.918;1.451.958.969;1.697.269.926;2.676.234.281;1.761.571.936;7.727.431.992;84.708.467;1.744.230.095;9.592.593.714;7.900.497.502;2.284.433.333;1.245.933.333;202.931.661;2.492.631.524;2.327.545.848;1.056.094.363;1.592.483.333
2015;2.273.731.548;8.849.312.121;2.078.880.841;2.036.055;1.231.376.872;1.236.678.908;1.207.325;7.671.900.649;1.243.040.129;1.057.829.852;2.012.664.548;1.556.797.068;1.287.135.551;2.207.509.444;1.730.545.229;5.652.718.273;6.239.564.858;2.191.940.989;1.127.593.002;6.465.657.975;1.907.066.667;1.277.516.667;2.107.626.366;2.613.378.325;2.375.703.675;1.543.967.597;1.208.569.747
2016;1.790.949.048;8.199.288.384;2.610.675.643;2.657.625;1.258.094.698;1.110.000.165;1.184.713.333;1.022.941.469;1.213.204.947;1.152.193.629;2.132.602.843;1.317.241.779;1.485.884.979;2.511.687.249;1.599.621.424;5.898.588.235;7.426.757.594;1.676.808.599;1.429.691.266;6.400.447.247;1.980.033.333;2.069.516.667;160.838.079;2.119.253;1.395.701.345;1.389.656.538;1.282.786.874
2017;2.085.390.952;1.439.533.056;2.909.466.095;2.462.405;1.265.206.493;1.313.032.057;1235.25;1.067.184.299;1.498.240.926;1.458.061.877;2.047.362.896;1.412.682.054;161.372.121;2.476.917.636;1.743.869.794;6.868.617.245;8.681.189.084;1.775.650.089;1.089.122.193;7.311.359.141;2.233.666.667;1.609.466.667;1.853.451.977;2.227.643.663;2.412.609.639;1.465.866.338;1.461.016.147
2018;2.081.585.476;9.140.122.727;2.904.789.037;3.002.275;127.571.183;1.273.085.363;1.512.673.333;151.942.525;178.576.362;1.653.238.671;232.686.861;1.385.127.173;1.763.785.102;2.662.515.423;1.720.627.737;7.416.662.493;1.017.161.772;1.469.630.821;1.472.396.641;883.712.331;2.171.166.667;2145.85;1.658.890.446;1.903.721.907;1.884.874.667;1.313.467.771;1.735.947.793
2019;2.433.061.905;1.044.637.659;2.954.426.225;2.587.508.333;1.164.540.325;1.369.806.938;1327.41;1.119.150.396;1.401.244.477;1.593.965.642;2.149.705.227;1.182.407.518;1.579.114.187;2.725.968.297;1.781.285.396;7.015.904.088;8.774.711.589;1.415.353.317;1.507.431.111;1.001.052.374;2301.85;2.136.166.667;1.688.391.933;216.426.882;1.762.168.748;1.387.870.812;1.385.170.599
2020;17.694.875;1.105.300.693;2.762.491.964;2405.15;1.996.501.839;1.166.407.266;1.807.276.667;1.422.822.671;153.542.239;1.794.386.549;2.587.853.458;1.050.104.598;1.342.377.839;2.655.580.897;2.094.041.576;8.710.583.517;1.098.108.987;1.169.837.089;1.694.859.784;1.134.328.889;1.771.666.667;1.717.166.667;1.338.134.334;207.166.399;1.842.156.746;1.279.446.078;1.668.175.008
