Periodo;PrecipitacaoTotal
1994-11;None
1994-12;None
1995-1;173.30000000
1995-2;44.30000000
1995-3;123.20000000
1995-4;58.50000000
1995-5;None
1995-6;None
1995-7;None
1995-8;None
1995-9;None
1995-10;None
1995-11;None
1995-12;None
1996-1;None
1996-2;None
1996-3;None
1996-4;None
1996-5;None
1996-6;None
1996-7;None
1996-8;None
1996-9;None
1996-10;None
1996-11;None
1996-12;None
1997-1;None
1997-2;None
1997-3;None
1997-4;None
1997-5;None
1997-6;None
1997-7;None
1997-8;None
1997-9;None
1997-10;None
1997-11;None
1997-12;None
1998-1;101.30000000
1998-2;217.50000000
1998-3;292.20000000
1998-4;169.50000000
1998-5;114.50000000
1998-6;None
1998-7;6.50000000
1998-8;37.30000000
1998-9;15.80000000
1998-10;35.60000000
1998-11;158.40000000
1998-12;72.20000000
1999-1;362.80000000
1999-2;202.60000000
1999-3;160.30000000
1999-4;149.40000000
1999-5;151.70000000
1999-6;57.10000000
1999-7;10.70000000
1999-8;59.00000000
1999-9;136.90000000
1999-10;89.60000000
1999-11;92.10000000
1999-12;28.20000000
2000-1;467.70000000
2000-2;None
2000-3;210.70000000
2000-4;None
2000-5;30.60000000
2000-6;70.30000000
2000-7;45.50000000
2000-8;23.60000000
2000-9;49.30000000
2000-10;215.20000000
2000-11;276.30000000
2000-12;261.00000000
2001-1;220.40000000
2001-2;435.00000000
2001-3;355.90000000
2001-4;202.40000000
2001-5;110.80000000
2001-6;118.90000000
2001-7;55.90000000
2001-8;77.70000000
2001-9;185.40000000
2001-10;169.90000000
2001-11;142.40000000
2001-12;665.30000000
2002-1;162.90000000
2002-2;342.40000000
2002-3;181.70000000
2002-4;239.20000000
2002-5;130.60000000
2002-6;9.00000000
2002-7;8.00000000
2002-8;60.60000000
2002-9;205.80000000
2002-10;183.10000000
2002-11;184.30000000
2002-12;581.20000000
2003-1;271.20000000
2003-2;271.80000000
2003-3;267.60000000
2003-4;333.60000000
2003-5;237.50000000
2003-6;120.10000000
2003-7;1.80000000
2003-8;103.10000000
2003-9;173.40000000
2003-10;154.80000000
2003-11;171.00000000
2003-12;287.10000000
2004-1;254.10000000
2004-2;239.30000000
2004-3;337.40000000
2004-4;141.70000000
2004-5;54.20000000
2004-6;7.40000000
2004-7;42.20000000
2004-8;44.40000000
2004-9;61.70000000
2004-10;196.60000000
2004-11;408.90000000
2004-12;218.20000000
2005-1;322.20000000
2005-2;336.60000000
2005-3;325.40000000
2005-4;141.20000000
2005-5;99.00000000
2005-6;10.70000000
2005-7;0.90000000
2005-8;68.60000000
2005-9;37.50000000
2005-10;242.20000000
2005-11;75.90000000
2005-12;371.50000000
2006-1;447.20000000
2006-2;371.70000000
2006-3;294.40000000
2006-4;313.30000000
2006-5;77.40000000
2006-6;0E-8
2006-7;17.30000000
2006-8;14.70000000
2006-9;37.40000000
2006-10;160.20000000
2006-11;200.60000000
2006-12;385.10000000
2007-1;447.10000000
2007-2;272.50000000
2007-3;212.10000000
2007-4;208.70000000
2007-5;132.80000000
2007-6;6.70000000
2007-7;13.70000000
2007-8;3.05000000
2007-9;40.25000000
2007-10;188.75000000
2007-11;240.10000000
2007-12;293.00000000
2008-1;396.90000000
2008-2;238.40000000
2008-3;None
2008-4;None
2008-5;207.40000000
2008-6;4.80000000
2008-7;9.00000000
2008-8;20.40000000
2008-9;67.70000000
2008-10;166.73333333
2008-11;304.80000000
2008-12;357.40000000
2009-1;291.86666667
2009-2;324.93333333
2009-3;239.40000000
2009-4;261.95000000
2009-5;127.00000000
2009-6;41.05000000
2009-7;32.40000000
2009-8;55.75000000
2009-9;81.40000000
2009-10;190.30000000
2009-11;280.53333333
2009-12;255.66666667
2010-1;224.50000000
2010-2;254.60000000
2010-3;409.40000000
2010-4;72.40000000
2010-5;81.06666667
2010-6;14.40000000
2010-7;2.00000000
2010-8;1.80000000
2010-9;35.40000000
2010-10;164.40000000
2010-11;91.50000000
2010-12;221.55000000
2011-1;391.60000000
2011-2;326.55000000
2011-3;372.75000000
2011-4;210.25000000
2011-5;36.80000000
2011-6;13.33333333
2011-7;0.53333333
2011-8;36.00000000
2011-9;103.50000000
2011-10;169.50000000
2011-11;164.60000000
2011-12;394.75000000
2012-1;360.90000000
2012-2;332.90000000
2012-3;272.80000000
2012-4;220.50000000
2012-5;81.20000000
2012-6;37.95000000
2012-7;6.05000000
2012-8;4.05000000
2012-9;69.35000000
2012-10;170.45000000
2012-11;263.50000000
2012-12;239.80000000
2013-1;516.86666667
2013-2;343.73333333
2013-3;303.05000000
2013-4;215.90000000
2013-5;118.20000000
2013-6;55.33333333
2013-7;50.60000000
2013-8;16.80000000
2013-9;79.20000000
2013-10;249.00000000
2013-11;280.73333333
2013-12;318.93333333
2014-1;380.65000000
2014-2;317.10000000
2014-3;294.65000000
2014-4;165.10000000
2014-5;138.75000000
2014-6;31.45000000
2014-7;20.40000000
2014-8;36.90000000
2014-9;93.30000000
2014-10;190.60000000
2014-11;293.73333333
2014-12;321.80000000
2015-1;303.40000000
2015-2;283.00000000
2015-3;389.86666667
2015-4;207.86666667
2015-5;205.85000000
2015-6;15.66666667
2015-7;9.13333333
2015-8;19.90000000
2015-9;6.00000000
2015-10;108.60000000
2015-11;130.93333333
2015-12;226.85000000
2016-1;313.66666667
2016-2;263.33333333
2016-3;379.86666667
2016-4;95.90000000
2016-5;67.20000000
2016-6;28.00000000
2016-7;0.20000000
2016-8;15.26666667
2016-9;108.00000000
2016-10;123.20000000
2016-11;280.80000000
2016-12;304.60000000
2017-1;307.06666667
2017-2;302.00000000
2017-3;394.33333333
2017-4;256.60000000
2017-5;134.50000000
2017-6;3.30000000
2017-7;0E-8
2017-8;37.40000000
2017-9;62.40000000
2017-10;181.60000000
2017-11;253.73333333
2017-12;300.73333333
2018-1;346.80000000
2018-2;275.90000000
2018-3;214.85000000
2018-4;223.73333333
2018-5;97.60000000
2018-6;24.70000000
2018-7;0.40000000
2018-8;55.00000000
2018-9;105.93333333
2018-10;138.85000000
2018-11;287.15000000
2018-12;400.25000000
2019-1;366.70000000
2019-2;372.05000000
2019-3;334.20000000
2019-4;230.90000000
2019-5;62.80000000
2019-6;9.00000000
2019-7;0.33333333
2019-8;21.46666667
2019-9;27.60000000
2019-10;196.80000000
2019-11;373.60000000
2019-12;306.40000000
2020-1;331.40000000
2020-2;389.53333333
2020-3;284.80000000
2020-4;147.73333333
2020-5;106.70000000
2020-6;11.10000000
2020-7;1.50000000
2020-8;1.60000000
2020-9;14.50000000
2020-10;72.20000000
2020-11;237.00000000
2020-12;173.60000000
