Periodo;PrecipitacaoTotal
1994-1;15.66666667
1994-2;51.13333333
1994-3;57.53333333
1994-4;108.30000000
1994-5;119.40000000
1994-6;309.46666667
1994-7;215.65000000
1994-8;76.80000000
1994-9;63.76666667
1994-10;36.76666667
1994-11;16.90000000
1994-12;16.86666667
1995-1;7.30000000
1995-2;29.20000000
1995-3;20.40000000
1995-4;104.30000000
1995-5;116.30000000
1995-6;176.80000000
1995-7;146.23333333
1995-8;67.36666667
1995-9;50.96666667
1995-10;3.73333333
1995-11;111.26666667
1995-12;7.10000000
1996-1;24.60000000
1996-2;8.96666667
1996-3;41.70000000
1996-4;281.46666667
1996-5;197.66666667
1996-6;171.36666667
1996-7;101.00000000
1996-8;156.20000000
1996-9;44.23333333
1996-10;23.10000000
1996-11;87.96666667
1996-12;28.56666667
1997-1;68.13333333
1997-2;70.46666667
1997-3;102.90000000
1997-4;162.03333333
1997-5;275.63333333
1997-6;141.30000000
1997-7;119.46666667
1997-8;67.46666667
1997-9;2.66666667
1997-10;8.16666667
1997-11;6.13333333
1997-12;16.53333333
1998-1;53.86666667
1998-2;11.90000000
1998-3;66.63333333
1998-4;71.03333333
1998-5;167.50000000
1998-6;241.80000000
1998-7;156.06666667
1998-8;100.66666667
1998-9;44.96666667
1998-10;17.70000000
1998-11;0.46666667
1998-12;25.46666667
1999-1;22.10000000
1999-2;31.66666667
1999-3;11.43333333
1999-4;66.23333333
1999-5;247.60000000
1999-6;175.10000000
1999-7;139.80000000
1999-8;113.43333333
1999-9;85.40000000
1999-10;127.36666667
1999-11;126.00000000
1999-12;46.70000000
2000-1;71.90000000
2000-2;169.33333333
2000-3;78.03333333
2000-4;274.10000000
2000-5;95.83333333
2000-6;184.70000000
2000-7;103.63333333
2000-8;110.83333333
2000-9;149.93333333
2000-10;10.66666667
2000-11;58.23333333
2000-12;83.83333333
2001-1;21.16666667
2001-2;26.46666667
2001-3;85.10000000
2001-4;118.93333333
2001-5;67.36666667
2001-6;261.90000000
2001-7;201.10000000
2001-8;128.53333333
2001-9;88.53333333
2001-10;120.23333333
2001-11;32.30000000
2001-12;58.43333333
2002-1;216.90000000
2002-2;66.83333333
2002-3;50.16666667
2002-4;45.83333333
2002-5;207.16666667
2002-6;174.63333333
2002-7;108.50000000
2002-8;75.40000000
2002-9;39.43333333
2002-10;8.36666667
2002-11;24.80000000
2002-12;13.83333333
2003-1;15.90000000
2003-2;66.83333333
2003-3;73.07500000
2003-4;47.92500000
2003-5;226.85000000
2003-6;159.22500000
2003-7;173.50000000
2003-8;89.35000000
2003-9;72.07500000
2003-10;110.77500000
2003-11;125.47500000
2003-12;25.97500000
2004-1;329.65000000
2004-2;54.82500000
2004-3;40.57500000
2004-4;77.07500000
2004-5;153.85000000
2004-6;131.90000000
2004-7;138.07500000
2004-8;165.42500000
2004-9;69.62500000
2004-10;5.27500000
2004-11;17.30000000
2004-12;0.27500000
2005-1;36.82500000
2005-2;58.26666667
2005-3;36.47500000
2005-4;110.82500000
2005-5;220.56666667
2005-6;131.80000000
2005-7;182.96666667
2005-8;109.53333333
2005-9;25.40000000
2005-10;9.80000000
2005-11;3.40000000
2005-12;34.72500000
2006-1;23.97500000
2006-2;11.86666667
2006-3;44.00000000
2006-4;140.16666667
2006-5;218.86666667
2006-6;265.56666667
2006-7;210.46666667
2006-8;75.60000000
2006-9;153.13333333
2006-10;132.80000000
2006-11;36.43333333
2006-12;4.52500000
2007-1;22.12500000
2007-2;117.80000000
2007-3;163.56666667
2007-4;172.00000000
2007-5;204.13333333
2007-6;124.16666667
2007-7;132.92500000
2007-8;113.10000000
2007-9;65.85000000
2007-10;24.90000000
2007-11;17.46000000
2007-12;21.87500000
2008-1;17.05000000
2008-2;76.42500000
2008-3;181.07500000
2008-4;110.51666667
2008-5;232.70000000
2008-6;114.37142857
2008-7;113.70000000
2008-8;185.00117500
2008-9;169.47588750
2008-10;149.12457500
2008-11;130.17367500
2008-12;147.66191250
2009-1;142.34773750
2009-2;167.62996250
2009-3;135.87065000
2009-4;182.03010000
2009-5;422.03686250
2009-6;208.19960000
2009-7;227.07230000
2009-8;268.20191250
2009-9;165.36141250
2009-10;169.03252857
2009-11;147.41827143
2009-12;145.00458750
2010-1;150.78062500
2010-2;203.76863750
2010-3;174.52642500
2010-4;325.92130000
2010-5;223.10260000
2010-6;215.82857143
2010-7;178.21428571
2010-8;207.37326250
2010-9;196.93237500
2010-10;183.91077143
2010-11;148.35837143
2010-12;17.95000000
2011-1;81.64285714
2011-2;54.30000000
2011-3;68.98333333
2011-4;312.74627143
2011-5;308.39720000
2011-6;196.83172500
2011-7;227.63160000
2011-8;190.71595000
2011-9;165.40540000
2011-10;204.89476250
2011-11;199.71357143
2011-12;151.67711429
2012-1;144.40636250
2012-2;219.01122857
2012-3;149.72456250
2012-4;140.38088750
2012-5;243.19097143
2012-6;224.80027143
2012-7;219.79051250
2012-8;215.13317500
2012-9;69.65714286
2012-10;189.35133750
2012-11;133.51960000
2012-12;141.69741250
2013-1;161.75621250
2013-2;137.37876250
2013-3;139.53691250
2013-4;274.02927143
2013-5;305.61151667
2013-6;319.52980000
2013-7;339.35476667
2013-8;232.62687143
2013-9;166.05492500
2013-10;243.62232500
2013-11;176.21795000
2013-12;199.18135000
2014-1;140.01837500
2014-2;219.12448333
2014-3;175.72310000
2014-4;234.13536250
2014-5;259.59744286
2014-6;119.38571429
2014-7;282.23370000
2014-8;212.35065714
2014-9;167.39388750
2014-10;186.62757500
2014-11;182.46916250
2014-12;148.48638750
2015-1;140.67183750
2015-2;169.01780000
2015-3;177.84231429
2015-4;224.22455714
2015-5;379.95657143
2015-6;258.56985000
2015-7;238.71822500
2015-8;212.75165714
2015-9;147.16045000
2015-10;152.63306250
2015-11;131.08861250
2015-12;143.06873750
2016-1;252.93332857
2016-2;208.81881667
2016-3;173.90325714
2016-4;37.25000000
2016-5;159.85714286
2016-6;132.21428571
2016-7;52.12857143
2016-8;44.55714286
2016-9;37.46000000
2016-10;13.04000000
2016-11;133.17692500
2016-12;150.36187500
2017-1;129.12573750
2017-2;139.88482500
2017-3;174.69620000
2017-4;235.95041250
2017-5;316.98237778
2017-6;265.97406250
2017-7;250.81028750
2017-8;189.95167500
2017-9;295.47187500
2017-10;151.65524000
2017-11;114.58478000
2017-12;147.52216667
2018-1;129.05595556
2018-2;162.68773333
2018-3;192.78736667
2018-4;190.86464444
2018-5;195.41290000
2018-6;218.42082222
2018-7;163.49027000
2018-8;126.54892000
2018-9;123.92084444
2018-10;117.32410000
2018-11;122.65147000
2018-12;141.70964000
2019-1;127.88792222
2019-2;131.58587778
2019-3;223.31633333
2019-4;177.58006667
2019-5;198.28081111
2019-6;326.35372222
2019-7;290.68571429
2019-8;69.11428571
2019-9;53.58571429
2019-10;30.24444444
2019-11;13.15000000
2019-12;120.38385556
2020-1;170.05606250
2020-2;71.66666667
2020-3;283.07540000
2020-4;328.84840000
2020-5;333.91791667
2020-6;349.07730000
2020-7;106.68000000
2020-8;83.74000000
2020-9;47.37500000
2020-10;28.82000000
2020-11;36.10000000
2020-12;2.80000000
