Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"IC","Credit to Agriculture","21","Brazil","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2012","2012","millions","10067.58487","Fc","Calculated data"
"IC","Credit to Agriculture","21","Brazil","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2013","2013","millions","9879.4119","Fc","Calculated data"
"IC","Credit to Agriculture","21","Brazil","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2014","2014","millions","9861.45346","Fc","Calculated data"
"IC","Credit to Agriculture","21","Brazil","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2015","2015","millions","7401.18429","Fc","Calculated data"
"IC","Credit to Agriculture","21","Brazil","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2016","2016","millions","6806.63363","Fc","Calculated data"
"IC","Credit to Agriculture","21","Brazil","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2017","2017","millions","6772.5763","Fc","Calculated data"
"IC","Credit to Agriculture","21","Brazil","6110","Value US$","23068","Credit to Agriculture, Forestry and Fishing","2018","2018","millions","6660.18939","Fc","Calculated data"
