Nome: RIBEIRAO PRETO
Codigo Estacao: 83679
Latitude: -21.18
Longitude: -47.8
Altitude: 529
Situacao: Desativada
Data Inicial: 1970-01-01
Data Final: 1970-07-31
Periodicidade da Medicao: Mensal

Data Medicao;DIRECAO PREDOMINANTE DO VENTO, MENSAL(° (gr));EVAPORACAO DO PICHE, MENSAL(mm);EVAPOTRANSPIRACAO POTENCIAL, BH MENSAL(mm);EVAPOTRANSPIRACAO REAL, BH MENSAL(mm);INSOLACAO TOTAL, MENSAL(h);NEBULOSIDADE, MEDIA MENSAL(décimos);NUMERO DE DIAS COM PRECIP. PLUV, MENSAL(número);PRECIPITACAO TOTAL, MENSAL(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL(mB);TEMPERATURA MAXIMA MEDIA, MENSAL(°C);TEMPERATURA MEDIA COMPENSADA, MENSAL(°C);TEMPERATURA MINIMA MEDIA, MENSAL(°C);UMIDADE RELATIVA DO AR, MEDIA MENSAL(%);VENTO, VELOCIDADE MAXIMA MENSAL(m/s);VENTO, VELOCIDADE MEDIA MENSAL(m/s);VISIBILIDADE, MEDIA MENSAL(codigo);
1970-01-31;0;83.2;null;null;null;6.634409;17;321.3;950.669892;32.212903;25.305806;20.551613;73.798387;1;.096774;55.483871;null;
1970-02-28;0;62.3;null;null;null;7.047619;18;346.5;952.404762;31.067857;24.366429;20.185714;77.955357;2;.095238;52.142857;null;
1970-03-31;0;97.5;null;null;null;4.72043;9;73.8;953.130108;33.3;25.441935;19.641935;68.5;2;.139785;56.612903;null;
1970-04-30;0;106.5;null;null;null;3.344444;3;16;953.753333;32.003333;23.550667;16.96;64.741667;2;.188889;55.833333;null;
1970-05-31;0;93.1;null;null;null;4.043011;5;27.4;954.832258;30.090323;21.362581;15.448387;68.201613;1;.096774;51.967213;null;
1970-06-30;0;93;null;null;null;3.877778;6;53.8;955.918889;29.856667;20.856;14.786667;67.733333;1;.055556;51.333333;null;
1970-07-31;9;95.6;null;null;null;3.268817;5;15.8;958.343011;27.590323;19.247742;13.364516;64.612903;2;.311828;56.290323;null;

